name,description,ingredients,category,protein,carbs,fat,fiber,vitamins,calories,cooking_time,spicy_level,instructions,is_vegetarian
Paruppu Usili,"A protein-rich dish made with crumbled lentils and vegetables, usually served as a side.","toor dal, chana dal, green beans, curry leaves, red chilies",side,8,18,4,5,"{'vitamin B6': 6, 'vitamin C': 8}",250,30,3,"1. Soak toor and chana dal for 1 hour, then grind coarsely. 2. Steam ground dal mixture until cooked. 3. Crumble dal and stir-fry with cooked green beans, red chilies, and curry leaves. 4. Serve as a side with rice.",TRUE
Pesarattu,"A green gram dosa, crispy and healthy, often served with ginger chutney.","green gram, ginger, green chilies, rice flour, cumin seeds",breakfast,7,30,1,4,"{'vitamin A': 3, 'vitamin C': 6}",200,15,2,"1. Soak green gram overnight, then grind with ginger and chilies. 2. Add cumin seeds, rice flour, and water to form a batter. 3. Pour batter onto a hot pan, spread thin, drizzle oil, cook until crispy. 4. Serve with ginger chutney.",TRUE
Kootu,"A vegetable and lentil stew made with coconut, a healthy side dish option.","chayote, moong dal, coconut, cumin seeds, green chilies, curry leaves",side,6,20,3,4,"{'vitamin C': 12, 'vitamin A': 7}",220,25,1,"1. Pressure cook moong dal and chayote until soft. 2. Grind coconut, cumin seeds, and chilies to a paste. 3. Add paste to cooked dal and chayote, simmer. 4. Garnish with curry leaves and serve.",TRUE
Chettinad Egg Curry,"A spicy egg curry cooked with Chettinad spices, rich in flavor and texture.","eggs, onions, tomatoes, fennel seeds, curry leaves, coconut, Chettinad masala",main,12,10,8,2,"{'vitamin B12': 25, 'vitamin A': 6}",300,30,4,"1. Boil eggs, remove shells, set aside. 2. Heat oil, add fennel seeds, curry leaves, onions, and tomatoes; cook until soft. 3. Add Chettinad masala, coconut paste, cook until oil separates. 4. Add boiled eggs, simmer for 5 minutes, serve hot with rice.",FALSE
Dosa,"A thin, crispy pancake made from a fermented rice and lentil batter, a South Indian favorite.","rice, urad dal, fenugreek seeds, ghee",breakfast,5,30,6,2,"{'vitamin B6': 5, 'vitamin E': 2}",200,15,2,"1. Soak rice, urad dal, and fenugreek seeds overnight. 2. Grind into a smooth batter and ferment for 8 hours. 3. Heat pan, pour batter, spread thin, drizzle ghee, cook until crispy. 4. Serve hot with sambar and chutney.",TRUE
Methi Thepla,"A soft, spiced flatbread made with fresh fenugreek leaves, a popular Gujarati snack.","wheat flour, fenugreek leaves, yogurt, green chilies, turmeric, cumin seeds",snack,5,25,4,3,"{'vitamin A': 6, 'vitamin C': 4}",180,15,2,"1. Mix wheat flour, chopped fenugreek leaves, yogurt, spices, and water to form dough. 2. Roll into thin circles and cook on a hot pan with a little oil until golden. 3. Serve hot with yogurt or pickle.",TRUE
Coconut Rice,"A fragrant South Indian rice dish with fresh grated coconut, ideal for a light lunch.","rice, grated coconut, mustard seeds, curry leaves, green chilies, cashews",main,4,35,5,2,"{'vitamin E': 4, 'vitamin B6': 2}",250,20,1,"1. Cook rice and set aside to cool slightly. 2. Heat oil, add mustard seeds, curry leaves, green chilies, and cashews. 3. Add grated coconut, sauté briefly, then mix with cooked rice. 4. Serve warm.",TRUE
Masala Dosa,"A crispy rice pancake filled with spicy potato masala, a popular South Indian breakfast.","rice, urad dal, fenugreek seeds, potatoes, onions, green chilies, mustard seeds, curry leaves",breakfast,7,35,6,5,"{'vitamin C': 10, 'vitamin B6': 5}",300,20,3,"1. Soak rice, urad dal, and fenugreek seeds overnight. 2. Grind into batter, ferment for 8 hours. 3. Prepare filling with mashed potatoes, spices, and onions. 4. Pour batter on a hot pan, spread thin, add filling, fold, and serve.",TRUE
Puliyodarai,"A tangy tamarind-flavored rice dish from South India, often served as prasadam.","rice, tamarind, mustard seeds, peanuts, red chilies, curry leaves",main,5,40,8,3,"{'vitamin B6': 3, 'vitamin E': 2}",320,30,3,"1. Soak tamarind, extract juice, and set aside. 2. Cook rice, cool slightly. 3. Heat oil, add mustard seeds, peanuts, red chilies, and curry leaves. 4. Add tamarind juice, cook until thick, then mix with rice and serve.",TRUE
Kappa and Meen Curry,"A Kerala specialty with boiled tapioca and spicy fish curry, often served as a main dish.","tapioca, fish, coconut, red chilies, tamarind, curry leaves, turmeric",main,10,25,10,4,"{'vitamin D': 15, 'vitamin C': 8}",350,45,4,"1. Boil tapioca until soft, set aside. 2. Grind coconut and red chilies to paste. 3. Heat oil, add spices and tamarind, cook fish until done. 4. Serve hot with boiled tapioca.",FALSE
Thakkali Sadam,"A tangy tomato rice flavored with spices, a quick and delicious lunch option.","rice, tomatoes, mustard seeds, curry leaves, green chilies, turmeric",main,4,35,3,3,"{'vitamin C': 12, 'vitamin A': 7}",240,20,2,"1. Cook rice and set aside. 2. Sauté mustard seeds, curry leaves, and green chilies. 3. Add chopped tomatoes and spices, cook until soft. 4. Mix with rice and serve warm.",TRUE
Kootu Curry,"A traditional Kerala curry with vegetables and black chickpeas, often served during feasts.","yam, raw banana, black chickpeas, coconut, cumin, mustard seeds",side,6,30,5,7,"{'vitamin C': 10, 'vitamin B6': 3}",270,30,2,"1. Cook black chickpeas until tender. 2. Cook yam and banana with turmeric. 3. Grind coconut and cumin to paste, add to vegetables and chickpeas. 4. Temper with mustard seeds and serve.",TRUE
Chettinad Chicken Curry,"A spicy and aromatic chicken curry from Chettinad, rich in bold flavors.","chicken, onions, tomatoes, curry leaves, Chettinad masala, coconut",main,20,10,15,3,"{'vitamin B12': 25, 'vitamin C': 8}",400,40,4,"1. Heat oil, add onions, tomatoes, and curry leaves, cook until soft. 2. Add Chettinad masala and coconut paste, cook until oil separates. 3. Add chicken, simmer until tender. 4. Serve hot with rice or roti.",FALSE
Gobi Manchurian,A popular Indo-Chinese dish with crispy cauliflower florets in a spicy sauce.,"cauliflower, flour, corn flour, garlic, soy sauce, green chilies, spring onions",snack,3,20,5,2,"{'vitamin C': 15, 'vitamin K': 4}",220,30,3,"1. Coat cauliflower florets in flour batter, fry until crispy. 2. Sauté garlic, green chilies, and spring onions. 3. Add soy sauce and fried cauliflower, toss well. 4. Serve hot garnished with spring onions.",TRUE
Aloo Gobi Curry,"A simple yet flavorful curry with potatoes and cauliflower, a staple in Indian cuisine.","potatoes, cauliflower, tomatoes, cumin seeds, turmeric, green chilies, coriander",main,4,25,6,4,"{'vitamin C': 10, 'vitamin B6': 3}",200,25,2,"1. Heat oil, add cumin seeds, green chilies, and turmeric. 2. Add potatoes and cauliflower, cook until tender. 3. Add tomatoes and coriander, cook until well mixed. 4. Serve hot with rice or roti.",TRUE
Vegetable Upma,A light and healthy South Indian breakfast made from semolina and mixed vegetables.,"semolina, carrots, peas, onions, mustard seeds, curry leaves, green chilies",breakfast,6,30,5,4,"{'vitamin A': 10, 'vitamin C': 5}",180,15,2,"1. Dry roast semolina and set aside. 2. Heat oil, add mustard seeds, curry leaves, and green chilies. 3. Sauté onions and mixed vegetables. 4. Add water, bring to boil, then add semolina. 5. Stir until thickened and serve hot.",TRUE
Chickpea Sundal,"A South Indian chickpea salad with coconut and spices, often enjoyed as a snack or festival offering.","chickpeas, grated coconut, mustard seeds, curry leaves, green chilies",snack,8,20,4,6,"{'vitamin C': 4, 'vitamin B6': 2}",150,10,1,"1. Boil chickpeas until tender. 2. Heat oil, add mustard seeds, curry leaves, and green chilies. 3. Add chickpeas, sauté briefly, then mix in grated coconut. 4. Serve warm.",TRUE
Rasam,"A spicy and tangy South Indian soup made with tomatoes, tamarind, and spices.","tomatoes, tamarind, mustard seeds, cumin, pepper, curry leaves, coriander",soup,2,15,1,2,"{'vitamin C': 15, 'vitamin A': 5}",50,10,3,1. Soak tamarind and extract juice. 2. Boil tomatoes and spices with tamarind juice. 3. Temper with mustard seeds and curry leaves. 4. Garnish with coriander and serve hot.,TRUE
Methi Malai Murg,"A creamy North Indian chicken curry with fenugreek and cream, mildly spiced.","chicken, fresh fenugreek leaves, cream, onions, garlic, ginger",main,22,5,15,3,"{'vitamin B12': 20, 'vitamin A': 6}",350,40,2,"1. Heat oil, sauté onions, ginger, and garlic. 2. Add chicken, cook until lightly browned. 3. Add fenugreek leaves, spices, and cream. 4. Simmer until chicken is tender and serve hot.",FALSE
Pongal,A comforting South Indian rice and lentil dish seasoned with ghee and black pepper.,"rice, split yellow moong dal, black pepper, cumin, ghee, curry leaves",breakfast,8,35,10,3,"{'vitamin E': 2, 'vitamin B6': 2}",300,25,2,"1. Dry roast moong dal, then rinse with rice. 2. Cook rice and dal with water until soft. 3. Heat ghee, add black pepper, cumin, and curry leaves. 4. Mix seasoning into rice-dal mixture and serve hot.",TRUE
Vendakkai Poriyal,"A simple stir-fried okra dish with mild spices, perfect as a side.","okra, mustard seeds, turmeric, curry leaves, onions",side,2,10,5,3,"{'vitamin C': 6, 'vitamin A': 10}",100,15,1,"1. Heat oil, add mustard seeds and curry leaves. 2. Add sliced okra and turmeric, sauté until tender. 3. Add onions, cook until translucent, and serve hot.",TRUE
Mysore Pak,"A rich and traditional South Indian sweet made with gram flour, ghee, and sugar.","gram flour, sugar, ghee",dessert,2,40,15,1,{'vitamin E': 1},400,30,1,"1. Heat ghee in a pan, add gram flour, cook until golden. 2. Add sugar syrup, stir until mixture thickens. 3. Pour into a tray, let cool, then cut into squares and serve.",TRUE
Nannari Sharbat,"A refreshing herbal drink made from Nannari roots, perfect for hot days.","nannari root syrup, lemon juice, ice, water",beverage,0,25,0,1,{'vitamin C': 8},80,5,1,"1. Add Nannari syrup to water and lemon juice. 2. Stir well, add ice, and serve chilled.",TRUE
Chili Chicken,A spicy Indo-Chinese stir-fried chicken dish with bell peppers and onions.,"chicken, bell peppers, onions, soy sauce, green chilies, garlic",main,20,10,8,2,"{'vitamin C': 10, 'vitamin B6': 5}",300,25,3,"1. Marinate chicken with spices, then fry until golden. 2. Sauté garlic, onions, bell peppers, and green chilies. 3. Add soy sauce, mix in chicken, toss well, and serve hot.",FALSE
Curd Rice,"A soothing South Indian dish made with rice and yogurt, typically served as a cooling meal.","rice, yogurt, curry leaves, mustard seeds, green chilies",main,5,40,4,2,"{'vitamin B12': 5, 'vitamin D': 3}",250,15,1,"1. Cook rice and cool slightly. 2. Mix with yogurt. 3. Temper mustard seeds, curry leaves, and green chilies, add to rice. 4. Serve chilled or at room temperature.",TRUE
Medu Vada,"A savory South Indian fritter made from urad dal, crisp on the outside and soft on the inside.","urad dal, green chilies, ginger, curry leaves, peppercorns",snack,7,15,5,2,{'vitamin B6': 3},150,20,2,"1. Soak urad dal for 4 hours, grind to a smooth batter. 2. Add chopped chilies, ginger, curry leaves, and peppercorns. 3. Shape batter into rings, deep-fry until golden. 4. Serve hot with chutney.",TRUE
Paruppu Vada,"A crispy South Indian snack made from chana dal, flavored with spices.","chana dal, onions, green chilies, curry leaves",snack,5,20,6,4,{'vitamin C': 4},180,15,2,"1. Soak chana dal for 2 hours, grind coarsely. 2. Mix in chopped onions, chilies, and curry leaves. 3. Shape into patties and deep-fry until golden. 4. Serve with coconut chutney.",TRUE
Puzhi Kulambu,A tangy and spicy South Indian tamarind-based curry with spices.,"tamarind, mustard seeds, fenugreek, curry leaves, turmeric, vegetables (optional)",main,2,10,4,3,{'vitamin C': 5},100,20,3,"1. Soak tamarind in water and extract juice. 2. Heat oil, add mustard seeds, fenugreek, and curry leaves. 3. Add tamarind juice, turmeric, salt, and simmer until thickened. 4. Serve hot with rice.",FALSE
Mor Kulambu,"A South Indian yogurt-based curry with mild spices, usually served with rice.","yogurt, turmeric, green chilies, curry leaves, cumin",main,4,15,3,2,{'vitamin B12': 4},120,15,1,"1. Whisk yogurt with water and turmeric. 2. Temper with green chilies, curry leaves, and cumin. 3. Add yogurt mixture, simmer briefly. 4. Serve hot with rice.",TRUE
Kuzhi Paniyaram,"A small, round savory snack made from fermented batter, similar to idli but cooked in a special pan.","idli batter, onions, green chilies, curry leaves",snack,6,20,3,1,{'vitamin B': 3},150,10,1,"1. Mix chopped onions, chilies, and curry leaves into batter. 2. Pour batter into greased paniyaram pan molds. 3. Cook until golden, turning once. 4. Serve with chutney.",TRUE
Egg Thokku,A spicy South Indian egg dish with a thick tomato and onion gravy.,"eggs, tomatoes, onions, green chilies, turmeric, curry leaves",main,12,10,8,2,"{'vitamin B12': 6, 'vitamin A': 4}",200,15,3,"1. Boil eggs, peel, and set aside. 2. Sauté onions, tomatoes, and green chilies until soft. 3. Add turmeric and salt, cook until thickened. 4. Add boiled eggs, coat with masala, and serve hot.",FALSE
South Indian Fish Curry,"A tangy and spicy fish curry with tamarind, coconut, and spices.","fish, tamarind, coconut milk, mustard seeds, curry leaves",main,20,5,12,3,"{'vitamin D': 10, 'vitamin B12': 4}",250,30,3,"1. Marinate fish with salt and turmeric. 2. Heat oil, add mustard seeds and curry leaves. 3. Add tamarind juice, coconut milk, and spices, simmer. 4. Add fish, cook until done, and serve hot.",FALSE
Bisi Bele Bath,"A traditional South Indian rice and lentil dish with vegetables and spices, served hot.","rice, toor dal, tamarind, mixed vegetables, curry leaves, bisi bele powder",main,10,50,8,5,"{'vitamin A': 10, 'vitamin C': 6}",300,45,2,"1. Cook rice and dal until soft. 2. Add tamarind extract, cooked vegetables, and spices. 3. Simmer until thick, garnish with curry leaves, and serve hot.",TRUE
Semiya Upma,A quick and light South Indian breakfast made from vermicelli and vegetables.,"vermicelli, carrots, peas, mustard seeds, curry leaves",breakfast,4,30,5,3,"{'vitamin A': 5, 'vitamin C': 4}",200,15,1,"1. Roast vermicelli until golden and set aside. 2. Sauté mustard seeds, curry leaves, and vegetables. 3. Add water, bring to a boil, add vermicelli, cook until water absorbs. 4. Serve hot.",TRUE
Sambar Rice,"A comforting combination of rice and sambar with vegetables, a staple South Indian meal.","rice, toor dal, tamarind, mixed vegetables, sambar powder",main,9,55,5,4,"{'vitamin A': 8, 'vitamin C': 7}",320,30,2,"1. Cook rice and dal until soft. 2. Prepare sambar with tamarind, vegetables, and spices. 3. Mix sambar with rice and serve hot with ghee.",TRUE
Lemon Rice,A tangy and aromatic South Indian rice dish seasoned with lemon juice and spices.,"rice, lemon juice, mustard seeds, turmeric, curry leaves",main,5,40,6,3,{'vitamin C': 10},200,10,1,"1. Cook rice and cool slightly. 2. Heat oil, add mustard seeds, turmeric, and curry leaves. 3. Mix in rice, add lemon juice, stir well, and serve.",TRUE
Tomato Rice,A flavorful South Indian rice dish made with tomatoes and spices.,"rice, tomatoes, onions, green chilies, mustard seeds, curry leaves",main,5,45,4,3,"{'vitamin C': 8, 'vitamin A': 6}",230,20,2,"1. Cook rice and set aside. 2. Sauté onions, tomatoes, green chilies, and spices. 3. Add rice, mix well, and serve hot.",TRUE
Idli Podi,"A spiced powder made from lentils and spices, traditionally eaten with idli and dosa.","chana dal, urad dal, sesame seeds, red chilies, asafoetida",condiment,10,30,8,5,"{'vitamin B6': 2, 'vitamin E': 3}",150,10,3,"1. Dry roast chana dal, urad dal, sesame seeds, and red chilies. 2. Grind with salt and asafoetida to a coarse powder. 3. Store in an airtight container and serve with idli or dosa.",TRUE
Veg Kurma,"A mixed vegetable curry with coconut and spices, a popular South Indian side dish for rice or bread.","mixed vegetables (carrot, beans, potato), coconut, green chilies, ginger, garlic, garam masala",main,8,25,10,5,"{'vitamin A': 10, 'vitamin C': 6}",180,30,2,"1. Grind coconut, green chilies, ginger, and garlic to a paste. 2. Sauté onions, add vegetables, and cook with spices. 3. Add coconut paste and water, simmer until vegetables are tender. 4. Serve hot with rice or bread.",TRUE
Coconut Rice,"A fragrant South Indian rice dish with coconut, curry leaves, and spices.","rice, grated coconut, mustard seeds, curry leaves, green chilies",main,5,40,6,4,{'vitamin C': 5},200,15,1,"1. Cook rice and cool slightly. 2. Sauté mustard seeds, curry leaves, and chilies, add coconut. 3. Mix in rice, stir well, and serve.",TRUE
Cabbage Vada,"A crispy and savory vada made with cabbage, spices, and lentils, perfect as a snack or side dish.","cabbage, chana dal, onions, green chilies, curry leaves",snack,5,20,6,3,{'vitamin C': 7},150,20,2,"1. Soak chana dal for 2 hours, grind coarsely. 2. Mix in chopped cabbage, onions, and chilies. 3. Shape into patties and deep-fry until golden. 4. Serve with chutney.",TRUE
Wheat Dosa,"A quick and healthy South Indian dosa made from wheat flour, a lighter alternative to rice dosa.","wheat flour, green chilies, onions, curry leaves",breakfast,4,30,2,2,{'vitamin B6': 3},130,10,1,"1. Mix wheat flour with water to form a batter. 2. Add chopped onions, chilies, and curry leaves. 3. Pour batter on a hot griddle, cook until golden. 4. Serve with chutney or sambar.",TRUE
Pudina Chutney (Mint Chutney),"A refreshing chutney made with mint, green chilies, and spices, typically served with South Indian snacks.","mint leaves, green chilies, tamarind, salt",condiment,1,5,0,2,"{'vitamin A': 4, 'vitamin C': 10}",30,5,1,"1. Blend mint leaves, green chilies, tamarind, and salt to a smooth paste. 2. Adjust seasoning and serve with snacks.",TRUE
Aval Laddu (Poha Ladoo),"A sweet Indian treat made from poha (flattened rice), ghee, and jaggery, flavored with cardamom.","poha, jaggery, ghee, cardamom powder",dessert,2,20,8,1,{'vitamin B6': 2},150,15,1,"1. Roast poha until crisp, grind coarsely. 2. Mix with melted jaggery, ghee, and cardamom powder. 3. Shape into small balls, serve as a dessert.",TRUE
Capsicum Rice,"A colorful South Indian rice dish with capsicum and spices, easy to make and flavorful.","rice, capsicum, onions, green chilies, mustard seeds, curry leaves",main,5,40,5,3,{'vitamin C': 8},230,15,1,"1. Cook rice and set aside. 2. Sauté mustard seeds, curry leaves, onions, and capsicum. 3. Mix in rice, stir well, and serve hot.",TRUE
Carrot Rice,A mild and nutritious South Indian rice dish with grated carrots and spices.,"rice, grated carrot, mustard seeds, green chilies, curry leaves",main,4,40,4,3,"{'vitamin A': 15, 'vitamin C': 6}",200,15,1,"1. Cook rice and cool slightly. 2. Sauté mustard seeds, curry leaves, and chilies, add grated carrot. 3. Mix in rice, stir well, and serve.",TRUE
Beetroot Rice,"A vibrant South Indian rice dish with grated beetroot and spices, full of nutrients.","rice, grated beetroot, mustard seeds, green chilies, curry leaves",main,4,40,4,3,"{'vitamin A': 8, 'vitamin C': 5}",210,15,1,"1. Cook rice and cool slightly. 2. Sauté mustard seeds, curry leaves, and chilies, add grated beetroot. 3. Mix in rice, stir well, and serve.",TRUE
Cauliflower Pakoda (Gobi Pakora),A crispy and spicy snack made with cauliflower florets dipped in spiced batter and deep-fried.,"cauliflower, chickpea flour, rice flour, red chili powder, turmeric",snack,4,15,10,3,{'vitamin C': 10},180,20,3,"1. Mix chickpea flour, rice flour, chili powder, and turmeric. 2. Dip cauliflower florets in batter, deep-fry until golden. 3. Serve hot with chutney.",TRUE
Beetroot Chutney,"A unique South Indian chutney made with beetroot and spices, adding color and flavor to meals.","beetroot, coconut, green chilies, tamarind, curry leaves",condiment,2,10,3,2,{'vitamin C': 4},50,10,1,"1. Grind beetroot, coconut, green chilies, and tamarind to a paste. 2. Sauté in oil with curry leaves, serve with rice or dosa.",TRUE
Chicken 65,"A spicy and crispy South Indian fried chicken dish, often served as an appetizer.","chicken, yogurt, ginger-garlic paste, red chili powder, curry leaves",appetizer,20,5,15,0,{'vitamin B6': 5},250,30,4,"1. Marinate chicken with yogurt, ginger-garlic paste, and spices. 2. Deep-fry until crispy. 3. Garnish with curry leaves and serve hot.",FALSE
Beerakaya Fry,"A simple and nutritious stir-fry made with ridge gourd and spices, commonly enjoyed as a side dish in South India.","ridge gourd, onions, green chilies, mustard seeds, curry leaves",side,3,10,2,3,{'vitamin C': 7},90,15,1,"1. Peel and slice ridge gourd. 2. Sauté mustard seeds, curry leaves, onions, and green chilies. 3. Add ridge gourd, cook until tender. 4. Season and serve hot.",TRUE
Veg Cutlet,"A crispy and savory snack made with mixed vegetables and spices, coated in breadcrumbs and fried.","potatoes, carrots, peas, breadcrumbs, green chilies, ginger-garlic paste",snack,4,30,8,4,"{'vitamin A': 10, 'vitamin C': 5}",180,20,2,1. Boil and mash vegetables. 2. Mix with spices and shape into patties. 3. Coat with breadcrumbs and fry until golden. 4. Serve hot with ketchup.,TRUE
Chicken Cutlet,"A crispy and flavorful cutlet made with minced chicken, spices, and breadcrumbs, perfect as a snack.","minced chicken, onions, green chilies, ginger-garlic paste, breadcrumbs",snack,15,12,10,1,{'vitamin B6': 5},250,25,3,"1. Sauté onions, green chilies, and ginger-garlic paste. 2. Add minced chicken, cook until done. 3. Shape into patties, coat with breadcrumbs, and fry. 4. Serve hot with chutney.",FALSE
Boiled Egg Fry,"A quick and spicy fried egg dish, perfect as a snack or side.","boiled eggs, red chili powder, turmeric, salt",snack,12,1,10,0,{'vitamin B12': 2},160,10,2,"1. Slice boiled eggs in half. 2. Sprinkle with chili powder, turmeric, and salt. 3. Shallow fry until golden. 4. Serve hot.",FALSE
Egg Roast (Roasted Eggs),"A spicy dish of boiled eggs roasted with onions and spices, popular in South Indian cuisine.","boiled eggs, onions, tomatoes, red chili powder, garam masala",main,12,5,8,1,{'vitamin C': 4},180,20,3,1. Sauté onions and tomatoes with spices. 2. Add boiled eggs and roast until well coated. 3. Serve with rice or bread.,FALSE
Kozhukattai,"Steamed rice dumplings filled with sweet coconut and jaggery, a traditional South Indian delicacy.","rice flour, grated coconut, jaggery, cardamom powder",dessert,3,20,2,2,{'vitamin B6': 2},150,30,1,"1. Prepare dough with rice flour and water. 2. Fill with coconut, jaggery, and cardamom. 3. Shape into dumplings and steam. 4. Serve warm.",TRUE
Oats Chilla,"A savory pancake made with oats, vegetables, and spices, perfect for a healthy breakfast.","oats, onions, tomatoes, green chilies, cumin seeds",breakfast,5,25,4,4,{'vitamin B1': 3},130,15,1,"1. Grind oats to a powder, mix with water, vegetables, and spices. 2. Pour batter onto a hot pan and cook both sides. 3. Serve hot with chutney.",TRUE
Moong Dal,"A simple and nutritious lentil dish with moong dal, often served with rice or bread.","moong dal, turmeric, green chilies, cumin seeds",main,8,20,2,4,{'vitamin B1': 2},120,20,1,1. Cook moong dal with turmeric. 2. Temper with cumin seeds and green chilies. 3. Garnish and serve hot.,TRUE
Savory French Toast,"A quick and savory twist on French toast with spices, perfect for breakfast.","bread, eggs, green chilies, onions, salt",breakfast,7,20,10,1,{'vitamin B12': 2},200,10,1,"1. Beat eggs with salt, onions, and chilies. 2. Dip bread slices and fry on a pan. 3. Serve hot with ketchup.",TRUE
Mooli Paratha,"A stuffed Indian flatbread with spiced radish filling, a nutritious meal or snack.","wheat flour, grated radish, green chilies, cumin seeds",main,6,35,5,4,{'vitamin C': 7},250,20,2,"1. Prepare dough with wheat flour. 2. Stuff with spiced radish filling, roll into parathas. 3. Cook on a griddle until golden. 4. Serve with yogurt.",TRUE
